Wall time,Step,Value
1499950870.8738441,7,0.6940646767616272
1499950871.4473436,17,0.7051601409912109
1499950871.614844,20,0.6967213749885559
1499950871.9953437,26,0.693561851978302
1499950872.7678435,38,0.6935071349143982
1499950873.0488443,42,0.6934010982513428
1499950873.1713443,44,0.6934121251106262
1499950873.2838435,46,0.6934473514556885
1499950873.3428445,47,0.6933996081352234
1499950873.4553447,49,0.6933189630508423
1499950873.8028452,55,0.6932093501091003
1499950873.8593445,56,0.6931471228599548
1499950873.9133446,57,0.6931549906730652
1499950873.9673436,58,0.693163275718689
1499950874.508845,67,0.6931564807891846
1499950874.8663442,73,0.6932690739631653
1499950874.9238453,74,0.6932805180549622
1499950874.9803443,75,0.693263828754425
1499950875.039845,76,0.6932382583618164
1499950875.3263447,81,0.693191647529602
1499950875.7788444,89,0.6931598782539368
1499950876.1798444,96,0.6930842995643616
1499950876.6293476,104,0.6930341720581055
1499950876.7963452,107,0.6929486989974976
1499950876.8498452,108,0.6932318806648254
1499950877.2513452,115,0.6932590007781982
1499950877.5288453,120,0.6932322978973389
1499950877.977346,128,0.6930859684944153
1499950878.1448455,131,0.6930754780769348
1499950878.1998458,132,0.6927892565727234
1499950878.6988456,141,0.6923639178276062
1499950878.808846,143,0.6906558275222778
1499950878.862345,144,0.6897954344749451
1499950879.3083456,152,0.6860625743865967
1499950879.587349,157,0.6831898093223572
1499950879.695346,159,0.6826205849647522
1499950879.7493453,160,0.6832852959632874
1499950879.973345,164,0.6815195083618164
1499950880.2483456,169,0.6798030138015747
1499950880.3063452,170,0.6809132099151611
1499950880.4748461,173,0.6823702454566956
1499950880.8048458,179,0.681985080242157
1499950880.859846,180,0.6819006204605103
1499950880.9673455,182,0.6735818386077881
1499950881.1328454,185,0.6820108890533447
1499950881.2433467,187,0.6729615330696106
1499950881.2968464,188,0.6737456321716309
1499950881.4078467,190,0.6727288961410522
1499950881.5218475,192,0.6774753928184509
1499950881.5798461,193,0.6777700185775757
1499950881.9723458,200,0.6864134669303894
1499950882.460847,208,0.6881164908409119
1499950882.5303457,209,0.687892735004425
1499950882.5953462,210,0.688387393951416
1499950882.8283467,214,0.6881528496742249
1499950883.474848,225,0.6754263639450073
1499950883.8678465,231,0.6783841252326965
1499950884.0398486,234,0.6760525107383728
1499950884.150347,236,0.6661918759346008
1499950884.3913467,239,0.662715494632721
1499950885.179348,251,0.6797637939453125
1499950885.5253468,257,0.6776062846183777
1499950885.800848,262,0.6718019843101501
1499950885.8718488,263,0.6733347773551941
1499950886.032847,265,0.6715012788772583
1499950886.3013477,269,0.6742934584617615
1499950886.544847,273,0.6719657778739929
1499950886.6558475,275,0.6753591895103455
1499950886.932848,280,0.6800743341445923
1499950887.8318477,294,0.6783616542816162
1499950888.12585,299,0.6737271547317505
1499950888.1803493,300,0.6741849184036255
1499950888.4923482,304,0.6732057929039001
1499950888.5613475,305,0.6719356179237366
1499950888.8088493,309,0.6670734882354736
1499950888.8658473,310,0.6635984778404236
1499950888.9813473,312,0.6636838316917419
1499950889.1983476,315,0.674425482749939
1499950889.5323482,320,0.6649928092956543
1499950889.591848,321,0.6653313040733337
1499950890.0583484,327,0.6686152815818787
1499950890.1218505,328,0.6720188856124878
1499950890.1793482,329,0.6721131801605225
