Wall time,Step,Value
1499941865.9995377,7,0.6929789781570435
1499941866.527537,20,0.6933351159095764
1499941866.7670379,26,0.6915546655654907
1499941867.4015377,42,0.6915444135665894
1499941867.483037,44,0.6898943781852722
1499941867.6095376,47,0.6878905892372131
1499941867.6925373,49,0.6913140416145325
1499941867.9310386,55,0.6900985240936279
1499941868.053538,58,0.6910939812660217
1499941868.410539,67,0.691282331943512
1499941868.651038,73,0.6901606321334839
1499941868.7315383,75,0.6913703680038452
1499941868.7715385,76,0.6908859610557556
1499941868.9770386,81,0.6882486343383789
1499941869.2950377,89,0.6913995742797852
1499941869.5700386,96,0.6921839714050293
1499941869.8955388,104,0.6935210227966309
1499941870.0185385,107,0.6937614679336548
1499941870.0570376,108,0.6938903331756592
1499941870.3350377,115,0.6938324570655823
1499941870.534039,120,0.6935234069824219
1499941870.8435388,128,0.693263828754425
1499941871.3685381,141,0.6922004222869873
1499941871.805038,152,0.6926911473274231
1499941872.0035384,157,0.6921960711479187
1499941872.1230392,160,0.6924775242805481
1499941872.4875386,169,0.6923738121986389
1499941872.5265393,170,0.691961944103241
1499941872.926039,180,0.691347062587738
1499941873.128039,185,0.6924635767936707
1499941873.206039,187,0.6910881996154785
1499941873.246039,188,0.6917942762374878
1499941873.4055388,192,0.6894515752792358
1499941873.7265394,200,0.6816325187683105
1499941874.0450404,208,0.6859738826751709
1499941874.0850391,209,0.6851812601089478
1499941874.2845392,214,0.6799514889717102
1499941874.723539,225,0.6806374788284302
1499941874.9605396,231,0.6785374283790588
1499941875.1605394,236,0.6705785989761353
1499941875.27854,239,0.6737249493598938
1499941875.76204,251,0.6771999001502991
1499941876.0065396,257,0.6681259274482727
1499941876.2010398,262,0.6649408936500549
1499941876.3185406,265,0.665066123008728
1499941876.4765396,269,0.6626538038253784
1499941876.6340394,273,0.6587899327278137
1499941876.710541,275,0.6572839021682739
1499941877.4730406,294,0.6422823667526245
1499941877.6730406,299,0.6406876444816589
1499941877.7115405,300,0.6424294114112854
1499941877.91004,305,0.6351941227912903
1499941878.1450408,310,0.625065803527832
1499941878.231041,312,0.6127570271492004
1499941879.7935402,320,0.5915202498435974
1499941879.8340404,321,0.6065300107002258
1499941880.1180408,328,0.5985203981399536
1499941880.1570404,329,0.5949887037277222
1499941880.276541,332,0.5862112641334534
1499941880.645541,341,0.60506671667099
1499941880.9700403,349,0.5924408435821533
1499941881.6075413,365,0.5646578073501587
1499941881.7725418,369,0.5654416084289551
1499941882.0130413,375,0.5698893666267395
1499941882.173542,379,0.5701268315315247
1499941882.2520409,381,0.5661010146141052
1499941882.775541,394,0.581331729888916
1499941883.421042,410,0.5805065631866455
1499941883.940042,423,0.5538725256919861
1499941883.982543,424,0.541522741317749
1499941884.0630417,426,0.5525032877922058
1499941884.2955415,432,0.5718784928321838
1499941884.645542,441,0.5627478957176208
1499941884.7250414,443,0.557668149471283
1499941884.7670417,444,0.5592049956321716
1499941884.8835416,447,0.5527856945991516
1499941885.125042,453,0.5733561515808105
1499941885.4875426,462,0.5499663949012756
1499941885.6055412,465,0.5465694069862366
