Wall time,Step,Value
1500736975.7931108,20,0.9192099571228027
1500736976.3647475,26,0.91619873046875
1500736977.880723,42,0.9230460524559021
1500736978.0717218,44,0.9011615514755249
1500736978.3557217,47,0.8818202614784241
1500736979.3977215,58,0.8507032990455627
1500736980.8297222,73,0.8679856657981873
1500736981.1127229,76,0.865929126739502
1500736983.058564,96,0.9063267707824707
1500736983.829888,104,0.9224088191986084
1500736984.2568896,108,0.9059277772903442
1500736986.1328878,128,0.8831368088722229
1500736988.9969695,157,0.8621069192886353
1500736989.2829697,160,0.8529432415962219
1500736990.169397,169,0.8771752119064331
1500736991.210395,180,0.8820353150367737
1500736991.6832955,185,0.9011916518211365
1500736991.875295,187,0.8959304094314575
1500736992.3602965,192,0.8915868997573853
1500736999.924708,231,0.8620818853378296
1500737000.4127078,236,0.8786190748214722
1500737001.8222084,251,0.9151923656463623
1500737002.3847294,257,0.8846377730369568
1500737002.8567605,262,0.8617486953735352
1500737003.5110776,269,0.8529035449028015
1500737004.091244,275,0.8585813641548157
1500737005.8669913,294,0.8200699687004089
1500737007.34505,310,0.8979575037956238
1500737007.5370514,312,0.9004438519477844
1500737008.2700503,320,0.8993532657623291
1500737009.390728,332,0.8224112391471863
1500737010.2439184,341,0.8399029970169067
1500737010.9819188,349,0.814150333404541
1500737012.6699197,365,0.8124665021896362
1500737013.04592,369,0.812070369720459
1500737021.5539396,423,0.7776386141777039
1500737021.6499386,424,0.7903251051902771
1500737023.3224497,441,0.8246594071388245
1500737023.6159432,444,0.8459567427635193
1500737023.9132507,447,0.8400453329086304
1500737025.3641262,462,0.7973732948303223
1500737025.6520112,465,0.7884306907653809
1500737025.7470112,466,0.7834417819976807
1500737026.6790116,476,0.7973093390464783
1500737028.432012,495,0.7812432050704956
1500737030.375015,516,0.7971617579460144
1500737032.2446904,533,0.7527698278427124
1500737032.722692,538,0.7378946542739868
1500737035.2775993,565,0.7439810037612915
1500737036.275558,575,0.7782406210899353
