Wall time,Step,Value
1499950870.8738441,7,0.4581293761730194
1499950871.4473436,17,0.5038016438484192
1499950871.614844,20,0.4777728319168091
1499950871.9953437,26,0.5336605906486511
1499950872.7678435,38,0.48117879033088684
1499950873.0488443,42,0.4859914779663086
1499950873.1713443,44,0.4854758083820343
1499950873.2838435,46,0.4781102240085602
1499950873.3428445,47,0.48169219493865967
1499950873.4553447,49,0.4902326464653015
1499950873.8028452,55,0.5004467368125916
1499950873.8593445,56,0.5113702416419983
1499950873.9133446,57,0.5054689645767212
1499950873.9673436,58,0.5025925040245056
1499950874.508845,67,0.4999672770500183
1499950874.8663442,73,0.4726179838180542
1499950874.9238453,74,0.47047850489616394
1499950874.9803443,75,0.47367963194847107
1499950875.039845,76,0.48152199387550354
1499950875.3263447,81,0.48833540081977844
1499950875.7788444,89,0.4953598380088806
1499950876.1798444,96,0.5096990466117859
1499950876.6293476,104,0.5129739046096802
1499950876.7963452,107,0.5135517120361328
1499950876.8498452,108,0.4996965527534485
1499950877.2513452,115,0.48430129885673523
1499950877.5288453,120,0.4803360104560852
1499950877.977346,128,0.4915235638618469
1499950878.1448455,131,0.49172693490982056
1499950878.1998458,132,0.4988042414188385
1499950878.6988456,141,0.5043044090270996
1499950878.808846,143,0.5078615546226501
1499950878.862345,144,0.5133253931999207
1499950879.3083456,152,0.5055219531059265
1499950879.587349,157,0.5395897030830383
1499950879.695346,159,0.537692666053772
1499950879.7493453,160,0.5323609113693237
1499950879.973345,164,0.5527554154396057
1499950880.2483456,169,0.5673466920852661
1499950880.3063452,170,0.5699869990348816
1499950880.4748461,173,0.5452705025672913
1499950880.8048458,179,0.5626177191734314
1499950880.859846,180,0.5610434412956238
1499950880.9673455,182,0.5763201713562012
1499950881.1328454,185,0.5703405141830444
1499950881.2433467,187,0.5799445509910583
1499950881.2968464,188,0.582887589931488
1499950881.4078467,190,0.5819827318191528
1499950881.5218475,192,0.5787497758865356
1499950881.5798461,193,0.578687310218811
1499950881.9723458,200,0.5370470881462097
1499950882.460847,208,0.5515627264976501
1499950882.5303457,209,0.5526564717292786
1499950882.5953462,210,0.5458283424377441
1499950882.8283467,214,0.534233570098877
1499950883.474848,225,0.5999336838722229
1499950883.8678465,231,0.5806849598884583
1499950884.0398486,234,0.5800224542617798
1499950884.150347,236,0.5921619534492493
1499950884.3913467,239,0.6088423132896423
1499950885.179348,251,0.578901469707489
1499950885.5253468,257,0.5871400237083435
1499950885.800848,262,0.5979222059249878
1499950885.8718488,263,0.5896924734115601
1499950886.032847,265,0.5812446475028992
1499950886.3013477,269,0.5586452484130859
1499950886.544847,273,0.5648505687713623
1499950886.6558475,275,0.5497164726257324
1499950886.932848,280,0.5452415943145752
1499950887.8318477,294,0.5604953169822693
1499950888.12585,299,0.560701847076416
1499950888.1803493,300,0.5671316385269165
1499950888.4923482,304,0.567996621131897
1499950888.5613475,305,0.5721344351768494
1499950888.8088493,309,0.5965492725372314
1499950888.8658473,310,0.5978318452835083
1499950888.9813473,312,0.5944000482559204
1499950889.1983476,315,0.5829582214355469
1499950889.5323482,320,0.6214885115623474
1499950889.591848,321,0.6202771663665771
1499950890.0583484,327,0.5937173962593079
1499950890.1218505,328,0.5905956625938416
1499950890.1793482,329,0.5893486142158508
1499950890.3958483,332,0.6058539152145386
1499950890.9478483,341,0.6149998903274536
1499950891.525848,349,0.6426580548286438
1499950892.25735,362,0.5770569443702698
1499950892.425349,365,0.5746588706970215
1499950892.7943487,369,0.5902633666992188
1499950893.2083502,375,0.6230527758598328
1499950893.4303498,379,0.632145881652832
1499950893.5468493,381,0.6423506736755371
1499950893.9498494,388,0.6473435163497925
1499950895.7528841,393,0.6316190958023071
1499950895.809884,394,0.6231446862220764
1499950896.711383,410,0.6286231279373169
1499950897.1118822,417,0.6397901177406311
1499950897.4578843,423,0.6401029229164124
1499950897.5118835,424,0.6354676485061646
1499950897.627384,426,0.6319162845611572
1499950897.9678829,432,0.6239293813705444
1499950898.4808831,441,0.6192412376403809
1499950898.592883,443,0.6201791763305664
1499950898.6478832,444,0.6253487467765808
1499950898.8143835,447,0.6266761422157288
1499950899.1333826,453,0.6265239119529724
1499950899.6353846,462,0.6300354599952698
1499950899.8048835,465,0.6466396450996399
1499950899.8588836,466,0.6616631746292114
1499950900.384884,475,0.6592385768890381
1499950900.4428835,476,0.6542522311210632
1499950901.0503836,487,0.6424232721328735
1499950901.2498846,490,0.6508734226226807
1499950901.362384,491,0.6529735922813416
1499950901.496386,493,0.6556273698806763
1499950901.6448836,495,0.6440269351005554
1499950903.5708842,509,0.627756655216217
1499950903.8763855,514,0.6394498348236084
1499950903.9913845,516,0.651391863822937
1499950904.1603868,519,0.6542552709579468
1499950904.737387,527,0.6593682765960693
1499950905.1183853,533,0.6347596049308777
1499950905.233884,535,0.6325927972793579
1499950905.413385,538,0.6192694902420044
1499950905.7588856,544,0.6219339966773987
1499950906.0468853,549,0.649863600730896
1499950906.1078868,550,0.6536272168159485
1499950906.6603844,559,0.679697573184967
1499950906.7718856,561,0.6799300312995911
1499950907.0708952,565,0.6788833141326904
1499950907.149894,566,0.6813074946403503
1499950907.6018946,571,0.678473711013794
1499950907.8313942,575,0.6647121906280518
1499950907.8868937,576,0.6607409715652466
1499950908.2503943,581,0.6825043559074402
1499950908.4013946,583,0.6720472574234009
1499950908.473394,584,0.6610925197601318
1499950908.5978942,586,0.6529849171638489
1499950908.7143955,588,0.644855260848999
1499950908.7768943,589,0.6413072347640991
1499950909.066894,594,0.6592353582382202
1499950909.126894,595,0.6589367985725403
1499950909.5288947,602,0.6729251742362976
1499950909.6413963,604,0.6774131655693054
1499950910.0663953,610,0.6853498816490173
1499950910.2108953,612,0.6843521595001221
1499950910.5478942,617,0.7075996398925781
1499950910.8293948,622,0.680639386177063
1499950910.9428954,624,0.6908491253852844
1499950911.6308947,636,0.6965833902359009
1499950912.0273957,643,0.6988566517829895
1499950912.081895,644,0.6961584687232971
1499950912.1958954,646,0.6973258256912231
1499950912.250895,647,0.6885307431221008
1499950912.3108952,648,0.6962401866912842
