Wall time,Step,Value
1499941865.9995377,7,0.5023913383483887
1499941866.527537,20,0.48236775398254395
1499941866.7670379,26,0.535493791103363
1499941867.4015377,42,0.5093048214912415
1499941867.483037,44,0.5258501172065735
1499941867.6095376,47,0.5288830995559692
1499941867.6925373,49,0.5207660794258118
1499941867.9310386,55,0.5251365303993225
1499941868.053538,58,0.5060914754867554
1499941868.410539,67,0.5035477876663208
1499941868.651038,73,0.5110581517219543
1499941868.7315383,75,0.5030329823493958
1499941868.7715385,76,0.5043821334838867
1499941868.9770386,81,0.5307444334030151
1499941869.2950377,89,0.5324016809463501
1499941869.5700386,96,0.5244319438934326
1499941869.8955388,104,0.4938353896141052
1499941870.0185385,107,0.48563098907470703
1499941870.0570376,108,0.4792553782463074
1499941870.3350377,115,0.48188871145248413
1499941870.534039,120,0.49119436740875244
1499941870.8435388,128,0.49205833673477173
1499941871.3685381,141,0.5032719373703003
1499941871.805038,152,0.5044053196907043
1499941872.0035384,157,0.5262351632118225
1499941872.1230392,160,0.5173754096031189
1499941872.4875386,169,0.5096009373664856
1499941872.5265393,170,0.5211408734321594
1499941872.926039,180,0.5496323704719543
1499941873.128039,185,0.5180097222328186
1499941873.206039,187,0.5400566458702087
1499941873.246039,188,0.5344884991645813
1499941873.4055388,192,0.5350560545921326
1499941873.7265394,200,0.5611533522605896
1499941874.0450404,208,0.5553548336029053
1499941874.0850391,209,0.5638818740844727
1499941874.2845392,214,0.5947537422180176
1499941874.723539,225,0.5809909105300903
1499941874.9605396,231,0.6094252467155457
1499941875.1605394,236,0.6261633038520813
1499941875.27854,239,0.6102386713027954
1499941875.76204,251,0.5709719657897949
1499941876.0065396,257,0.5790578126907349
1499941876.2010398,262,0.6052011847496033
1499941876.3185406,265,0.6065354347229004
1499941876.4765396,269,0.612955629825592
1499941876.6340394,273,0.6210429668426514
1499941876.710541,275,0.6224197745323181
1499941877.4730406,294,0.6268027424812317
1499941877.6730406,299,0.6289883852005005
