Wall time,Step,Value
1500954972.9520848,20,0.5113257169723511
1500954974.2525854,26,0.5516951084136963
1500954977.7405858,42,0.5663670897483826
1500954978.1895857,44,0.538938581943512
1500954978.8445864,47,0.5693715810775757
1500954981.241587,58,0.5714932084083557
1500954984.4975882,73,0.5838196277618408
1500954985.1500883,76,0.5775490999221802
1500954989.616599,96,0.5839354395866394
1500954991.5676007,104,0.5999858379364014
1500954992.6651003,108,0.6028444170951843
1500954997.1906016,128,0.6429243683815002
1500955003.775603,157,0.629326581954956
1500955004.4226046,160,0.6453728675842285
1500955006.4356031,169,0.6622176170349121
1500955008.8521042,180,0.6396948099136353
1500955009.9606042,185,0.662100076675415
1500955010.395105,187,0.6633322834968567
1500955011.5326047,192,0.6665488481521606
1500955020.172607,231,0.6917328834533691
1500955021.3486073,236,0.6651560664176941
1500955024.8016083,251,0.6764656901359558
1500955026.1446097,257,0.6773539185523987
1500955027.2976086,262,0.6867643594741821
1500955028.8446088,269,0.6760994791984558
1500955030.17661,275,0.6799083948135376
1500955034.4191105,294,0.6709482669830322
1500955038.0406115,310,0.6804289221763611
1500955038.4741106,312,0.6836473941802979
1500955040.2236118,320,0.7150749564170837
1500955042.9091122,332,0.6975131034851074
1500955044.9331138,341,0.7184999585151672
1500955046.7961135,349,0.7317633032798767
1500955050.3796265,365,0.7070795893669128
1500955051.266126,369,0.6847695708274841
1500955063.7851295,423,0.7054837346076965
1500955064.0026286,424,0.7099353671073914
1500955067.9751303,441,0.6989915370941162
1500955068.67413,444,0.7153304815292358
1500955069.3556306,447,0.723335325717926
1500955072.6461315,462,0.7297740578651428
1500955073.3286316,465,0.7349896430969238
1500955073.5416307,466,0.7333656549453735
1500955075.764632,476,0.7159082889556885
1500955080.0821333,495,0.6997705101966858
1500955107.0747113,516,0.7173779606819153
1500955110.9107125,533,0.7297208905220032
1500955112.0187123,538,0.7229275107383728
1500955118.1292129,565,0.7370718121528625
1500955120.4082208,575,0.7534494996070862
1500955121.75072,581,0.7334312200546265
1500955123.3017204,588,0.7275833487510681
1500955123.5162208,589,0.7188875079154968
1500955126.8802211,604,0.7418809533119202
1500955130.991223,622,0.7601006031036377
1500955131.4352221,624,0.7625564932823181
1500955134.1027231,636,0.7507687211036682
1500955135.7082229,643,0.7591001391410828
1500955135.9297233,644,0.75662761926651
1500955136.383223,646,0.7581809163093567
1500955137.0447237,649,0.7504013776779175
1500955137.5147238,651,0.7531375885009766
1500955140.2962239,663,0.7539049386978149
1500955142.5172248,673,0.7773261666297913
1500955146.405226,690,0.7761335372924805
1500955152.6272275,716,0.7611046433448792
1500955153.5197277,720,0.7559732794761658
1500955154.4422278,724,0.7646987438201904
1500955156.289229,732,0.752048909664154
1500955158.3707285,741,0.7630549073219299
1500955159.235729,745,0.7631668448448181
1500955161.2462294,754,0.7747395634651184
1500955162.1262298,758,0.7748425602912903
1500955164.1377308,767,0.7507631778717041
1500955165.030232,771,0.76357102394104
1500955165.4672303,773,0.7570862770080566
1500955165.897231,775,0.7560523748397827
1500955167.4497304,782,0.7577037811279297
1500955168.6107318,787,0.7308863401412964
1500955169.042231,789,0.7509241700172424
1500955170.140732,794,0.7382861971855164
1500955170.5697317,796,0.7328555583953857
1500955171.4392326,800,0.754656195640564
1500955172.3277326,804,0.7613674402236938
1500955173.6782324,810,0.771628737449646
1500955173.8897326,811,0.7679033875465393
1500955179.1612346,834,0.7805554270744324
1500955180.0572357,838,0.7911474108695984
1500955187.4852357,871,0.8052070140838623
1500955189.053236,878,0.7988593578338623
1500955190.380736,884,0.7955835461616516
1500955193.439237,898,0.8002522587776184
1500955194.3137372,902,0.7865939736366272
1500955195.8431697,909,0.772948145866394
1500955196.29517,911,0.7768692374229431
1500955197.5826705,917,0.7681283950805664
1500955198.01867,919,0.7604652047157288
1500955201.102683,933,0.7820265889167786
1500955201.3481824,934,0.7756989002227783
1500955203.576183,944,0.7811134457588196
1500955204.2606835,947,0.8012285828590393
1500955206.2251842,956,0.7942712306976318
1500955207.110684,960,0.7782823443412781
1500955207.9871848,964,0.7835185527801514
1500955210.0086846,973,0.7719826698303223
1500955210.2341852,974,0.76509690284729
1500955211.594185,980,0.779754638671875
1500955211.815185,981,0.7767791748046875
1500955212.935186,986,0.7762853503227234
1500955238.1511915,1004,0.7993489503860474
1500955238.7992039,1007,0.7852410078048706
1500955240.7752044,1016,0.8135740160942078
1500955247.3972063,1046,0.8121461868286133
1500955250.1742065,1059,0.791782021522522
1500955251.5167072,1065,0.7990636229515076
1500955252.176219,1068,0.7862204313278198
1500955252.604719,1070,0.7916823029518127
1500955253.5107198,1074,0.8086040019989014
1500955254.8067198,1080,0.8020036220550537
1500955255.9232202,1085,0.7954909205436707
