Wall time,Step,Value
1500726371.880987,20,0.510733962059021
1500726373.554986,26,0.5059791803359985
1500726378.0311697,42,0.5293657779693604
1500726378.5871694,44,0.5264140963554382
1500726379.424169,47,0.5273708701133728
1500726382.4881692,58,0.5158583521842957
1500726386.6729326,73,0.5159059762954712
1500726387.5160663,76,0.5083484649658203
1500726393.0945203,96,0.5113013982772827
1500726395.3298364,104,0.5109346508979797
1500726396.4506276,108,0.532410204410553
1500726402.0384254,128,0.5490114092826843
1500726410.1212368,157,0.5446645617485046
1500726410.969177,160,0.5491854548454285
1500726413.476848,169,0.5676048398017883
1500726416.5465198,180,0.5685794949531555
1500726417.9453702,185,0.5754091143608093
1500726418.5053704,187,0.5753000974655151
1500726419.9105196,192,0.5707431435585022
1500726430.8783617,231,0.5562880635261536
1500726432.2863634,236,0.5487363934516907
1500726436.561012,251,0.5244644284248352
1500726438.277838,257,0.5335033535957336
1500726439.7209747,262,0.5439898371696472
1500726441.713357,269,0.5729631781578064
1500726443.4207375,275,0.5858122706413269
1500726448.9014084,294,0.5683688521385193
1500726453.5475094,310,0.6063569784164429
1500726454.1161404,312,0.6128678917884827
1500726456.3931653,320,0.601185142993927
1500726459.7806067,332,0.6297563314437866
1500726462.4004383,341,0.6128435134887695
1500726464.6458635,349,0.6144387125968933
1500726469.5403636,365,0.5824829936027527
1500726470.6932127,369,0.595557689666748
1500726485.9578302,423,0.6485077142715454
1500726486.2398307,424,0.6445944309234619
1500726491.1006968,441,0.6284276843070984
1500726491.9617074,444,0.6257957220077515
1500726492.8350315,447,0.5912206768989563
1500726497.1167877,462,0.5785276889801025
1500726497.9740398,465,0.604356050491333
1500726498.2597587,466,0.6095454692840576
1500726501.1795473,476,0.6248881816864014
1500726506.5713153,495,0.6499484181404114
1500726521.7201774,516,0.6493251323699951
1500726526.5061586,533,0.6118481755256653
1500726527.90816,538,0.6427112817764282
1500726535.6171668,565,0.654281497001648
1500726538.4388487,575,0.6210773587226868
1500726540.1421158,581,0.6363796591758728
1500726542.1577146,588,0.6491088271141052
1500726542.4431057,589,0.6607604622840881
1500726546.6569095,604,0.6805005073547363
1500726551.7083774,622,0.6951473951339722
1500726552.2683768,624,0.6872881054878235
1500726555.644378,636,0.6937312483787537
1500726557.6144576,643,0.6763168573379517
1500726557.895456,644,0.6696226596832275
1500726558.456457,646,0.6763006448745728
1500726559.2994583,649,0.6897262930870056
1500726559.8584576,651,0.6791470646858215
1500726563.229197,663,0.6763780117034912
1500726566.0465772,673,0.6797299981117249
1500726570.8331857,690,0.6840686798095703
1500726578.0044565,716,0.7187581658363342
1500726579.1527474,720,0.7142084836959839
1500726580.2913723,724,0.7180046439170837
1500726582.5732522,732,0.7030732035636902
1500726585.1423714,741,0.6770898699760437
1500726586.279861,745,0.6704011559486389
1500726588.843404,754,0.6800844073295593
1500726589.9837728,758,0.678054928779602
1500726592.5603316,767,0.6991452574729919
1500726593.6977623,771,0.6966232657432556
1500726594.2704847,773,0.693639874458313
1500726594.836891,775,0.7024732828140259
1500726596.8351538,782,0.7065297365188599
1500726598.2487483,787,0.7039297223091125
1500726598.8190274,789,0.689089298248291
1500726600.2329862,794,0.6940206289291382
1500726600.7969859,796,0.6952817440032959
